question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"What is the primary objective of the Suggestion Scheme?","To increase employee attendance","To promote creativity through constructive thinking","To introduce new machinery","To reduce working hours","B","The Suggestion Scheme promotes creativity, individual ingenuity, and employee participation in company development."
2,"The Suggestion Scheme recognizes employees primarily for their:","Attendance","Ingenuity","Seniority","Discipline","B","The scheme recognizes individual ingenuity through constructive suggestions."
3,"Which of the following is an acceptable suggestion under the Suggestion Scheme?","Company policy changes","Reduction of production cost","Collective bargaining demands","Organizational restructuring","B","Suggestions related to cost reduction are explicitly included within the scheme."
4,"Suggestions related to reducing waste are classified as:","Outside the scheme","Acceptable suggestions","Industrial relations matters","Policy matters","B","Waste reduction is one of the major acceptable suggestion categories."
5,"Improving product quality falls under which category of suggestions?","Outside the scope","Acceptable suggestions","Management policy","Collective bargaining","B","Quality improvement is one of the accepted suggestion areas."
6,"Which suggestion directly aims at increasing production efficiency?","Improving yield","Changing company policy","Changing salary structure","Recruiting employees","A","Yield improvement directly contributes to higher production efficiency."
7,"Conservation of which of the following is encouraged under the Suggestion Scheme?","Energy","Power","Materials","All of the above","D","The scheme encourages conservation of materials, energy, power, and time."
8,"Suggestions regarding product design are:","Not accepted","Accepted","Handled only by R&D","Accepted only after union approval","B","Improvement in product or product design is specifically mentioned."
9,"Rationalisation under the Suggestion Scheme includes:","Only manpower reduction","Work, materials and methods","Salary revision","Promotions","B","Rationalisation includes work, materials, and methods."
10,"Simplification suggestions mainly relate to:","Employee welfare","Practices, procedures and processes","Tax policies","Industrial disputes","B","The scheme encourages simplification of practices, procedures and processes."
11,"Improvement in advertising is considered:","Outside the scope","A valid suggestion","An HR activity","A policy matter","B","Advertising improvement is an accepted suggestion."
12,"Suggestions regarding new sources of revenue are:","Rejected","Accepted","Deferred indefinitely","Handled outside the scheme","B","Generating new revenue sources is included within acceptable suggestions."
13,"Improvement in civic problems includes:","Traffic","Hygiene","Cleanliness","All of the above","D","The chapter lists traffic, hygiene and cleanliness."
14,"Which of the following is NOT covered under the Suggestion Scheme?","Company policy matters","Energy conservation","Quality improvement","Yield improvement","A","Company policy matters are outside the scheme."
15,"Industrial Relations issues are excluded because they belong to:","Suggestion Scheme","Collective bargaining","Marketing","Quality Control","B","Industrial relations matters fall under collective bargaining."
16,"Replacement of machines is generally:","Accepted","Outside the scheme","Mandatory","Rewarded immediately","B","Replacement of facilities and machinery is excluded."
17,"Extension of existing plant practices is generally:","Accepted","Outside the scope","Compulsory","Always rewarded","B","Existing practices and equipment extensions are excluded."
18,"Items already under management consideration are:","Accepted","Outside the Suggestion Scheme","Automatically rewarded","Given cash awards","B","Pending or abandoned management issues are excluded."
19,"Which of the following awards may be given for good suggestions?","Cash award","Token gift","Certificate of merit","All of the above","D","Multiple forms of recognition are available."
20,"A Letter of Appreciation is normally issued by:","Senior Officer/HOD","Union Leader","Customer","Vendor","A","The chapter specifically mentions senior officer or HOD."
21,"Certificate of Merit is issued by:","CEO or Head of Unit","Shop Supervisor","Contractor","Customer","A","Certificate of Merit comes from Head of Works or CEO."
22,"Outstanding suggestions may be nominated for:","Prime Minister's Shram Awards","Olympic Awards","Nobel Prize","Padma Awards","A","Deserving suggestions are referred for PM Shram Awards."
23,"Which prestigious award is also mentioned for deserving suggestions?","Viswakarma Rashtriya Puraskar","Arjuna Award","Dronacharya Award","Padma Shri","A","The chapter explicitly mentions Viswakarma Rashtriya Puraskar."
24,"One organizational benefit of the Suggestion Scheme is:","Reduced employee involvement","Improved problem-solving methodology","Lower productivity","Reduced communication","B","Problem-solving capability improves through employee suggestions."
