question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"What is the success of steel production largely dependent upon?","Mode of transportation and regular supply","Market demand only","Export incentives","Power generation","A","The chapter states that steel production success largely depends on transportation and regular supply to feeding points."
2,"Which of the following movements is essential in steel making operations?","Hot metal","Finished steel","Slag","All of these","D","The chapter lists hot metal, slag, finished steel and other materials as requiring scheduled movement."
3,"What is the main objective behind dispatching finished products quickly?","Reduce inventory only","Continuous inflow of money","Increase imports","Reduce mining","B","Finished products are dispatched promptly to ensure continuous inflow of money."
4,"An ideal internal transportation layout should ensure which of the following?","Frequent delays","Smooth and safe operation","Maximum storage","Minimum production","B","The transportation network should support smooth and safe operations."
5,"Which factor should be considered while designing an internal traffic layout?","Monthly raw material plan","Unloading plan","Shunting arrangements","All of these","D","All these parameters are specifically mentioned for transportation planning."
6,"Poor planning of loading bays may result in:","Reduced production cost","Heavy detention of wagons","Higher exports","Improved turnaround time","B","Loading delays can cause detention of wagons and increased turnaround time."
7,"Increased wagon detention generally leads to:","Lower demurrage","Higher demurrage","Higher mine output","Lower freight movement","B","Detention beyond allowed time attracts demurrage charges."
8,"Success of transportation in steel plants largely depends on coordination with:","Airlines","Ports","Railways","Road Transport Authority","C","Railways are the primary supplier of wagons."
9,"Which raw material is transported by railway wagons to steel plants?","Iron ore","Coal","Limestone","All of these","D","Railways transport several key raw materials including coal, iron ore and limestone."
10,"Railway-plant coordination meetings are generally held on:","Weekly basis only","Quarterly or monthly basis","Yearly basis only","Daily basis","B","The chapter mentions quarterly and monthly coordination meetings."
11,"Why are coordination meetings conducted between Railways and plants?","To increase taxes","To review performance and solve problems","To recruit workers","To close sidings","B","Meetings help review performance and resolve transportation issues."
12,"Plant requirements are communicated to Railways:","After dispatch","Well in advance","After unloading","Only during emergencies","B","Advance communication helps ensure wagon availability."
13,"Who generally provides rake indents for finished product dispatches?","Mining department","PPC and TRM","Finance department","Security department","B","The chapter states that PPC and TRM provide rake indents."
14,"Timely handing over of rakes helps reduce:","Production","Demurrage","Mining","Steel quality","B","Quick handover improves turnaround time and reduces demurrage."
15,"A BOXN rake with a single destination normally consists of how many wagons?","43","50","59","75","C","The chapter specifies 59 wagons for BOXN rakes with a single destination."
16,"A concurred rake with multiple destinations generally consists of:","59 wagons","43 wagons","35 wagons","25 wagons","B","The chapter mentions 43-wagon rakes for multiple destinations."
17,"Road transport is mainly used when:","Railways are unavailable only","Low quantity and shorter distance make it economical","Distance is extremely long","No customers exist","B","Road transport becomes economical for smaller consignments and shorter distances."
18,"Compared to rail transport, road transport is often:","Slower","Faster","More complex","Impossible","B","The chapter describes road transport as faster in many cases."
19,"Railways normally discourage movement of:","Large quantities over long distances","Low quantities over short distances","Imported coal","Finished steel","B","Small consignments over short distances are generally discouraged by Railways."
20,"Demurrage is a charge levied by:","Ports","Road transporters","Railways","Steel plants","C","Demurrage is imposed by Railways."
21,"Demurrage is charged when wagons are detained:","Within allowed time","Beyond specified free time","Before arrival","During loading only","B","Detention beyond permitted time attracts demurrage."
22,"The main purpose of demurrage charges is to discourage:","Efficient unloading","Excessive wagon detention","Steel production","Coal transport","B","Demurrage encourages faster wagon turnaround."
23,"Lower wagon turnaround time benefits Railways by:","Reducing freight earnings","Increasing freight earnings","Reducing wagon availability","Stopping transport","B","Faster turnaround allows more freight movement."
24,"Efficient handling of wagons requires:","Quick marking","Prompt unloading","Formation of rakes","All of these","D","All these activities contribute to efficient wagon management."
25,"Steel plants maintain a centralized unit for:","Inventory and demurrage control","Tax collection","Export licensing","Power generation","A","A centralized inventory and demurrage control unit supports decision-making."
26,"Demurrage is considered:","A productive expenditure","An unproductive expenditure","A capital asset","A profit source","B","The chapter explicitly describes demurrage as unproductive expenditure."
27,"The job of a steel plant is considered complete when:","Ore is mined","Finished products are sold","Coal arrives","Blast furnace starts","B","Sales and dispatch complete the production cycle."
28,"Loading and dispatch activities largely depend on the:","Mining department","Shipping department","Accounts department","Security department","B","The shipping department manages loading and dispatch."
29,"The shipping department receives rolling plans from:","Railways","Mills and planning systems","Customers only","Ports","B","Rolling plans guide shipping activities."
30,"Loading plans are generally provided by:","CMO or local marketing department","Mining department","Finance department","Stores department","A","The chapter specifically mentions CMO/local marketing."
31,"Who requests wagon supply from the traffic department?","Production department","Shipping department","Accounts department","Security department","B","Shipping coordinates wagon requirements."
32,"Which document is issued after loading is completed?","Purchase order","Dispatch Advice","Tax invoice","Work permit","B","Dispatch Advice is issued after loading."
33,"Dispatch Advice includes details of:","Consignee","Quantity","Destination","All of these","D","The document contains multiple shipment details."
34,"After loading, wagons are removed from siding and:","Destroyed","Weighed","Sold","Stored indefinitely","B","Weighment is a post-loading activity."
35,"Which document is prepared before invoicing by Railways?","Forwarding note","Tender form","Purchase order","Gate pass","A","The forwarding note is checked before invoicing."
36,"The forwarding note is submitted to the:","Station master","Railway goods clerk","Mine manager","Port officer","B","The railway goods clerk verifies the forwarding note."
37,"The transport system in an integrated steel plant connects:","Only mines","Only rolling mills","All production units","Only dispatch yards","C","The chapter emphasizes connectivity among all units."
38,"Failure of the transportation system can:","Improve production","Disrupt the entire plant","Increase exports","Reduce dependence","B","Transport is essential for plant functioning."
39,"Production units should provide advance information to:","Transport department","Customers","Banks","Ports","A","Advance information helps prepare movement schedules."
40,"Matching production and movement schedules helps achieve:","Economy in production","Higher demurrage","Longer delays","Reduced coordination","A","Coordinated scheduling improves efficiency."
41,"Production schedules should be prepared in consultation with:","PPC and TRM","Banks","Customers","Ports","A","The chapter highlights coordination with PPC and TRM."
42,"Supervisors must strictly adhere to:","Only production schedules","Only movement schedules","Both production and movement schedules","Neither schedule","C","Adherence ensures smooth production and dispatch."
43,"A strict discipline should be maintained in the upkeep of:","Railway tracks","Wagons","Locomotives","All of these","D","Proper maintenance of all transport assets is required."
44,"Which SAIL unit is discussed first under logistics?","Bokaro Steel Plant","Rourkela Steel Plant","Bhilai Steel Plant","IISCO Steel Plant","C","Bhilai Steel Plant appears first in the logistics section."
45,"Dalli mine supplies which commodity to Bhilai Steel Plant?","Limestone","Iron Ore","Coal","Dolomite","B","The table lists Dalli as an iron ore source."
46,"Distance from Dalli to Bhilai Steel Plant via rail is:","73 km","90 km","135 km","264 km","B","The logistics table specifies 90 km."
47,"Rajhara mine is located at approximately what rail distance from Bhilai Steel Plant?","86 km","90 km","135 km","190 km","A","Rajhara is listed at 86 km."
48,"Nandini (HSLD) supplies:","Iron ore","Flux","Coal","Dolomite","B","Nandini is identified as a flux source."
49,"Distance from Nandini (HSLD) to Bhilai Steel Plant is:","23 km","35 km","73 km","90 km","A","The table gives 23 km."
50,"Which Bhilai captive mine is farthest from the plant?","Dalli","Rajhara","Kuteshwar","Rowghat","C","Kuteshwar is listed at 496 km, the greatest distance."
51,"Kuteshwar commodity for Bhilai Steel Plant is:","Iron ore","Flux","Coal","Dolomite","B","Kuteshwar supplies flux."
52,"Approximate rail distance of Rowghat project from Bhilai Steel Plant is:","90 km","190 km","318 km","496 km","B","Rowghat is shown as approximately 190 km."
53,"Which port serves Bhilai Steel Plant with imported coal from a distance of 556 km?","Paradip","Haldia","Visakhapatnam","Dhamra","C","Visakhapatnam is listed at 556 km."
54,"Distance from Gangavaram port to Bhilai Steel Plant is:","402 km","505 km","561 km","581 km","C","The table specifies 561 km."
55,"Bolani (BVX) supplies which commodity to Durgapur Steel Plant?","Dolomite","Iron Ore","Imported Coal","Flux","B","Bolani is listed under iron ore."
56,"Distance from Bolani to Durgapur Steel Plant is:","309 km","318 km","354 km","640 km","B","The table specifies 318 km."
57,"Gua captive mine is located at what rail distance from Durgapur Steel Plant?","264 km","309 km","354 km","873 km","B","Gua is shown at 309 km."
58,"Kuteshwar captive mine supplies which commodity to Durgapur Steel Plant?","Iron Ore","Coal","Limestone","Flux","C","Kuteshwar is listed under limestone."
59,"Distance from Kuteshwar captive mine to Durgapur Steel Plant is:","640 km","873 km","483 km","322 km","B","The table shows 873 km."
60,"Hirri captive mine supplies which commodity to Durgapur Steel Plant?","Dolomite","Iron Ore","Coal","Flux","A","Hirri is listed under dolomite."
61,"Distance from Hirri captive mine to Durgapur Steel Plant is:","640 km","617 km","451 km","309 km","A","The logistics table specifies 640 km."
62,"Which area supplies domestic power/coking coal to Durgapur Steel Plant?","Dhanbad (BCCL/CCL) Area","Haldia","Paradip","Gopalpur","A","Dhanbad area is listed as the coal source."
63,"Distance from Dhanbad area to Durgapur Steel Plant is:","92 km","308 km","483 km","873 km","A","The table shows 92 km."
64,"Which port is nearer to Durgapur Steel Plant?","Haldia","Dhamra","Both equal","Neither listed","A","Haldia is 308 km versus Dhamra at 483 km."
65,"Distance from Haldia port to Durgapur Steel Plant is:","308 km","402 km","451 km","505 km","A","The table specifies 308 km."
66,"Barsuan and Tilda mines supply which commodity to Rourkela Steel Plant?","Limestone","Iron Ore","Coal","Dolomite","B","They are listed under iron ore."
67,"Distance from Barsuan and Tilda mines to Rourkela Steel Plant is:","63 km","73 km","91 km","135 km","B","The table gives 73 km."
68,"Which Rourkela mine is nearest to the plant?","Kiriburu","Meghataburu","Birimatrapur","Sonakhan","C","Birimatrapur is only 35 km away."
69,"Birimatrapur supplies:","Iron Ore","Limestone","Coal","Flux","B","The commodity listed is limestone."
70,"Which serving port is farthest from Rourkela Steel Plant?","Haldia","Paradip","Dhamra","Gopalpur","D","Gopalpur is listed at 581 km, the greatest distance."
