question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,Steel is 100% recyclable without loss of quality.,50% recyclable,75% recyclable,100% recyclable,Not recyclable,C,The correct answer is C based on the chapter content.
2,SAIL's Environment Management Division was established on?,23 June 1988,23 June 1990,1 Jan 1988,14 Sept 2006,A,The correct answer is A based on the chapter content.
3,EMD headquarters is located at?,Delhi,Mumbai,Kolkata,Rourkela,C,The correct answer is C based on the chapter content.
4,EMD is certified with which QMS standard?,ISO 14001:2015,ISO 9001:2015,ISO 45001,ISO 50001,B,The correct answer is B based on the chapter content.
5,"The four major pollutants in steel plants include air emissions, effluent, noise and?",Radiation,Solid waste,Heat,Light,B,The correct answer is B based on the chapter content.
6,BF stands for?,Basic Furnace,Blast Furnace,Boiling Furnace,Brick Furnace,B,The correct answer is B based on the chapter content.
7,BOF stands for?,Basic Oxygen Furnace,Blast Oxygen Facility,Boiler Oxygen Furnace,Basic Ore Furnace,A,The correct answer is A based on the chapter content.
8,Corporate Sustainability Policy referenced year?,2024,2025,2026,2030,C,The correct answer is C based on the chapter content.
9,Environmental stewardship includes?,Emission reduction,Tax increase,Import promotion,Privatization,A,The correct answer is A based on the chapter content.
10,Sustainable sourcing means procurement that is?,Expensive,Responsible,Imported,Unregulated,B,The correct answer is B based on the chapter content.
11,"Major air pollutants include CO2, SOx, NOx and?",Methane only,Dust,Helium,Argon,B,The correct answer is B based on the chapter content.
12,"Water is used for cooling, heat transfer, descaling and?",Mining only,Dust scrubbing,Painting,Packaging,B,The correct answer is B based on the chapter content.
13,Major share of steel industry solid waste comes from?,BF and BOF slag,Office waste,Plastic waste,Food waste,A,The correct answer is A based on the chapter content.
14,Environment Control Department is set up at?,Corporate only,Individual plants,Villages,Ports,B,The correct answer is B based on the chapter content.
15,EMS is linked with which standard?,ISO 9001,ISO 14001,ISO 22000,ISO 27001,B,The correct answer is B based on the chapter content.
16,EIA Notification year?,2000,2010,2006,2016,C,The correct answer is C based on the chapter content.
17,Consent to Operate is abbreviated as?,CtE,CtO,CPO,COP,B,The correct answer is B based on the chapter content.
18,Consent to Establish is abbreviated as?,CtE,CtO,CEO,CSE,A,The correct answer is A based on the chapter content.
19,Air pollution equipment includes?,Bag Filters,Printers,Transformers,Excavators,A,The correct answer is A based on the chapter content.
20,SO2 emissions are controlled by using?,High sulphur coal,Low sulphur coal,More limestone,More water,B,The correct answer is B based on the chapter content.
21,CDQ stands for?,Coke Dry Quenching,Coal Dry Quality,Carbon Dust Quantity,Coke Dust Quality,A,The correct answer is A based on the chapter content.
22,TRT stands for?,Top gas Pressure Recovery Turbine,Thermal Recovery Tank,Top Resource Transfer,Torpedo Recovery Technology,A,The correct answer is A based on the chapter content.
23,ETP stands for?,Effluent Treatment Plant,Energy Transfer Plant,Emission Treatment Plant,Eco Test Plant,A,The correct answer is A based on the chapter content.
