question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"Which chapter discusses Human Resources?","Chapter 13","Chapter 14","Chapter 16","Chapter 17","C","The PDF is titled Chapter 16 – Human Resources. "
2,"What was SAIL's manpower in FY16?","88,655","82,964","76,870","72,339","A","The manpower chart shows 88,655 employees in FY16. "
3,"What was SAIL's manpower in FY25?","55,989","59,186","53,159","62,181","C","The chart indicates manpower declined to 53,159 in FY25. "
4,"Approximately what percentage decline in manpower occurred from FY16 to FY25?","20%","30%","40%","50%","C","The chapter explicitly mentions an approximately 40% decline. "
5,"What was labour productivity (LP) in FY16?","315","320","344","389","A","The manpower and labour productivity chart lists LP as 315 in FY16. "
6,"What was labour productivity in FY25?","579","615","637","521","B","The chart shows LP reaching 615 in FY25. "
7,"Which statement best describes labour productivity over the decade?","It halved","It remained constant","It nearly doubled","It fell after FY20","C","The chapter states labour productivity nearly doubled from 315 to 615. "
8,"In which year did labour productivity dip slightly before recovering?","FY18","FY19","FY20","FY21","D","The text notes a slight dip in FY21 before strong gains resumed. "
9,"Which factor is cited as contributing to higher labour productivity?","Reduced automation","Better capacity utilization","Increased administrative staff","Lower efficiency","B","The chapter links productivity gains to better capacity utilization. "
10,"Which factor is NOT mentioned as a reason for productivity improvement?","Modernization benefits","Process automation","Improved operational efficiency","Expansion of administrative overhead","D","Administrative expansion is not cited; efficiency improvements are. "
11,"What was the total manpower strength as on 01.02.2026?","50,246","53,159","72,933","40,051","A","The manpower profile shows total manpower of 50,246. "
12,"How many executives were employed by SAIL?","40,051","10,195","6,264","7,993","B","The manpower table lists 10,195 executives. "
13,"How many non-executives were employed by SAIL?","31,343","40,051","50,246","72,933","B","The manpower profile lists 40,051 non-executives. "
14,"What percentage of SAIL's workforce consisted of executives?","10%","20%","30%","40%","B","Executives accounted for 20% of manpower. "
15,"What percentage of employees were non-executives?","60%","70%","80%","90%","C","The chapter states nearly 80% are non-executives. "
16,"What was the average age of SAIL employees?","42 years","45 years","48 years","50 years","C","The manpower profile reports an average age of 48 years. "
17,"What percentage of employees were deployed in works areas?","75%","80%","84%","94%","C","About 84% of employees were deployed in works areas. "
18,"What percentage of employees were in non-works roles?","10%","16%","20%","25%","B","The chapter indicates 16% were in non-works roles. "
19,"What does the high share of works-area deployment reinforce?","Export orientation","Manufacturing orientation","Retail focus","Consulting focus","B","It reinforces SAIL's core manufacturing orientation. "
20,"The average age of 48 years highlights the need for:","Privatization","Succession planning and skill renewal","Plant closures","Reduction in training","B","The chapter directly links workforce ageing with succession planning and skill renewal. "
21,"What was the gender diversity level reported in the workforce?","4%","6%","8%","10%","B","Gender diversity is stated as 6%. "
22,"What was labour productivity as per the manpower profile?","615 TCS/man/year","521 TCS/man/year","637 TCS/man/year","579 TCS/man/year","C","The profile reports labour productivity of 637 TCS/man/year. "
23,"What was the manpower cost per tonne of steel?","₹5,226","₹5,298","₹6,080","₹6,419","C","The manpower cost is reported as ₹6,080 per tonne of steel. "
24,"Manpower cost constituted what percentage of expenditure?","9.5%","10.2%","11.62%","12.8%","C","The chapter states manpower cost represented 11.62% of expenditure. "
25,"How many contract labourers were engaged by SAIL?","50,246","40,051","72,933","53,159","C","Contract labour strength is listed as 72,933. "
26,"Compared with permanent manpower, contract labour was:","Much lower","Equal","Slightly lower","Higher","D","The chapter notes contract labour exceeded permanent manpower. "
27,"A larger contract labour base indicates:","Operational flexibility","Reduced outsourcing","Higher fixed costs","Lower adaptability","A","The chapter associates contract labour with flexibility and cost optimization. "
28,"Which future focus area is specifically mentioned?","International acquisitions","Skill upgradation","Retail expansion","Shipping operations","B","Skill upgradation is identified as a future focus area. "
29,"Which future focus area is NOT mentioned?","Rejuvenation","Skill upgradation","Diversity enhancement","Mine privatization","D","Mine privatization is not listed among future focus areas. "
30,"SAIL earned which workplace recognition?","Best Employer Award","Great Place to Work Certification","National HR Excellence Medal","ISO Workforce Award","B","SAIL received the Great Place to Work certification. "
31,"For what period was the certification awarded?","2025–2026","2026–2027","2024–2025","2027–2028","B","The certification covered February 2026 to February 2027. "
32,"How many consecutive times had SAIL earned the certification?","Once","Twice","Three times","Four times","C","The chapter states it was the third time in a row. "
33,"The certification reflects SAIL's commitment to a workplace culture that is:","Traditional and rigid","Contemporary and agile","Temporary and decentralized","Outsourced and contractual","B","The chapter describes the culture as contemporary and agile. "
34,"What does TRUST INDEX© measure?","Steel output","Profitability","Positive employee feedback","Export performance","C","It indicates the percentage of employees giving positive feedback. "
35,"The Great Place to Work Institute is described as a:","Steel regulator","Government ministry","Global authority on workplace culture","Trade union federation","C","The chapter calls it a global authority on workplace culture. "
36,"What is SAIL DARPAN primarily intended to promote?","Export marketing","Transparent and performance-driven workplace","Mine mechanization","Foreign recruitment","B","SAIL DARPAN aims at transparency and performance-driven evaluation. "
37,"SAIL DARPAN aligns evaluation and target setting with:","Political objectives","Organizational goals","Global steel prices","Union demands","B","The initiative aligns evaluation with organizational goals. "
38,"SAIL DARPAN empowers employees to:","Reduce production","Own their growth","Avoid evaluations","Shift departments automatically","B","The text states it empowers employees to own their growth. "
39,"Domain-change opportunities for executives are supported through:","International transfers only","Specialized training programs","Mandatory retirement","Wage revision schemes","B","The chapter highlights specialized training programs for domain changes. "
40,"Which IIM is specifically mentioned under SAIL's training MoUs?","IIM Ahmedabad","IIM Indore","IIM Kozhikode","IIM Lucknow","C","IIM Kozhikode is one of the institutes named in the chapter. "
41,"Which of the following is also listed among partner institutions?","XLRI","NIT Trichy","IISc Bengaluru","IIFT Delhi","A","XLRI is specifically mentioned as a partner institution. "
42,"Training programs were focused on which domains?","Marketing and HR","Mining and Geology","Finance and Audit","Safety and Environment","A","The programs focused on marketing and HR. "
43,"How many executive employees were deployed in works functions?","5,334","6,264","7,993","10,195","B","The workforce breakup table shows 6,264 executives in works. "
44,"How many executive employees were in non-works functions?","2,867","3,414","4,101","4,979","A","The executive workforce table lists 2,867 in non-works. "
45,"What was the total number of executives?","9,195","10,195","11,195","12,195","B","The executive total shown is 10,195. "
46,"What was the total number of non-executives?","31,343","40,051","39,024","50,246","B","The workforce breakup reports 40,051 non-executives. "
47,"How many contract labourers worked in works functions?","48,348","8,758","8,856","6,971","A","The contract labour table lists 48,348 in works. "
48,"How many contract labourers worked in projects?","6,971","8,758","8,856","48,348","B","The contract labour breakup shows 8,758 in projects. "
49,"How many contract labourers worked in mining?","6,971","8,856","8,758","4,101","B","The contract labour table reports 8,856 in mining. "
50,"How many contract labourers worked in non-works functions?","6,971","7,993","8,856","10,195","A","The contract labour table lists 6,971 in non-works functions. "
