question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"When was Hindustan Steel Limited (HSL) established?","19 January 1954","24 January 1973","2 February 1955","1 January 1959","A","HSL was established on 19 January 1954."
2,"Who owned the shares of Hindustan Steel Limited on behalf of the people of India?","President of India","Prime Minister of India","Ministry of Steel","Parliament of India","A","The President of India held the shares on behalf of the people."
3,"Which steel plant was initially managed by Hindustan Steel Limited?","Rourkela Steel Plant","Bhilai Steel Plant","Durgapur Steel Plant","Bokaro Steel Plant","A","HSL was initially created to manage only the Rourkela Steel Plant."
4,"In which year were Bhilai and Durgapur Steel Plants brought under HSL?","1957","1954","1959","1962","A","Control of Bhilai and Durgapur plants was transferred to HSL in April 1957."
5,"Where was the registered office of HSL originally located?","New Delhi","Kolkata","Ranchi","Bhilai","A","The original registered office of HSL was in New Delhi."
6,"To which city was HSL's registered office finally shifted?","Ranchi","Kolkata","New Delhi","Bokaro","A","The registered office finally shifted to Ranchi in December 1959."
7,"When was Bokaro Steel Limited incorporated?","January 1964","January 1954","January 1973","January 1968","A","Bokaro Steel Limited was incorporated in January 1964."
8,"The 1 MT phase of Bhilai Steel Plant was completed by the end of which year?","1961","1959","1962","1967","A","The first 1 MT phase was completed by December 1961."
9,"Which unit completed the 2.5 MT expansion phase of Bhilai Steel Plant?","Wire Rod Mill","Blast Furnace","Plate Mill","SMS","A","The commissioning of the Wire Rod Mill completed the 2.5 MT phase."
10,"What was the total crude steel output of HSL in 1972-73?","4 MT","3 MT","2.5 MT","5 MT","A","HSL achieved a crude steel output of 4 MT in 1972-73."
11,"Which Parliamentary Committee first reviewed the formation of a steel holding company?","Committee of Public Undertakings","Finance Committee","Planning Commission","Public Accounts Committee","A","The Committee of Public Undertakings reviewed the proposal."
12,"The proposal to establish a steel holding company was approved by the Government in which year?","1972","1971","1973","1974","A","The proposal received approval in January 1972."
13,"On which date was SAIL incorporated?","24 January 1973","19 January 1954","2 February 1955","1 May 1978","A","SAIL was incorporated on 24 January 1973."
14,"What was the authorised capital of SAIL at the time of incorporation?","Rs. 2,000 crore","Rs. 500 crore","Rs. 5,000 crore","Rs. 1,000 crore","A","The authorised capital was Rs. 2,000 crore."
15,"Which of the following was NOT originally included under SAIL in 1973?","RINL","HSL","BSL","NMDC","A","RINL was established later and initially remained under SAIL until 1982."
16,"In which year was SAIL restructured into an operating company?","1978","1973","1982","1971","A","SAIL was restructured in 1978."
17,"Which company merged with SAIL in February 2006?","IISCO","BCCL","NMDC","HSCL","A","IISCO merged with SAIL in February 2006."
18,"Which SAIL unit is the only Public Sector producer of manganese-based ferro alloys?","Chandrapur Ferro Alloy Plant","Salem Steel Plant","Alloy Steels Plant","VISL","A","CFP is the only PSU producing manganese-based ferro alloys."
19,"How many integrated steel plants does SAIL currently operate?","Five","Four","Six","Seven","A","SAIL operates five integrated steel plants."
