question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"India's crude steel production increased from approximately ______ between 2021 and 2025.","119 Mnt to 165 Mnt","100 Mnt to 150 Mnt","125 Mnt to 180 Mnt","110 Mnt to 140 Mnt","A","The chapter states that India's crude steel production increased from 119 Mnt to 165 Mnt."
2,"The approximate CAGR of India's crude steel production during 2021–2025 was:","8–9%","4–5%","10–12%","15%","A","The chapter mentions an annual growth rate of about 8–9%."
3,"The sharpest growth in crude steel production occurred during:","2023","2021","2024","2025","A","Production surged by about 12% in 2023."
4,"After 2023, the annual steel production growth stabilized to approximately:","6–10%","1–3%","12–15%","15–18%","A","Growth normalized to around 6–10% after the post-pandemic surge."
5,"The stable growth pattern after 2023 primarily indicates:","Capacity-led structural expansion","Economic recession","Declining demand","Closure of steel plants","A","The chapter attributes the stabilized growth to structural capacity expansion."
6,"India's hot metal share in the metallic mix remained around:","54–55%","40–45%","65–70%","25–30%","A","Hot metal continued to contribute about 54–55%."
7,"A stable hot metal share indicates continued dominance of which steelmaking route?","BF-BOF","EAF","Induction Furnace","Open Hearth","A","Blast Furnace–Basic Oxygen Furnace remains the dominant route."
8,"The term BF stands for:","Blast Furnace","Basic Furnace","Boiling Furnace","Bloom Furnace","A","BF refers to Blast Furnace."
9,"BOF stands for:","Basic Oxygen Furnace","Blast Oxygen Furnace","Basic Open Furnace","Boiler Oxygen Furnace","A","BOF means Basic Oxygen Furnace."
10,"The chapter suggests that India's steelmaking backbone has:","Not fundamentally changed","Shifted completely to EAF","Become hydrogen-based","Eliminated blast furnaces","A","BF-BOF remains the primary production route."
11,"Scrap usage in India's metallic mix increased from approximately:","19% to 22%","10% to 15%","25% to 30%","5% to 12%","A","Scrap intensity gradually increased from about 19% to 22%."
12,"Scrap usage grew at an approximate CAGR of:","12%","5%","8%","18%","A","The chapter reports approximately 12% CAGR."
13,"Increasing scrap usage is an indicator of growing participation of:","EAF/IF","Open Hearth","Converter Furnace","Cupola Furnace","A","Higher scrap use indicates greater EAF and IF participation."
