question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"What is hydraulics?","Transmission and control of forces and movements by means of fluids","Transmission of electrical energy","Control of gases only","Study of solid mechanics","A","Hydraulics is the transmission and control of forces and movements using fluids."
2,"A system that uses air as the working medium is called:","Hydraulics","Pneumatics","Lubrication system","Hydrostatics","B","Pneumatics uses compressed air as the working medium."
3,"Which fluid is most commonly used in modern hydraulic systems?","Water","Steam","Hydraulic oil","Compressed air","C","Hydraulic oil is preferred because it also lubricates moving parts."
4,"Why is hydraulic oil preferred over water in most hydraulic systems?","It is cheaper","It is lighter","It acts as a lubricant","It evaporates quickly","C","Hydraulic oil lubricates components while transmitting power."
5,"Velocity of a fluid is defined as:","Pressure per unit area","Average speed of fluid particles","Volume per unit time","Mass per unit volume","B","Velocity is the average speed of fluid particles passing a point."
6,"Which type of flow is most desirable in hydraulic systems?","Turbulent flow","Laminar flow","Random flow","Circular flow","B","Laminar flow minimizes friction and energy loss."
7,"In laminar flow, fluid particles move:","Randomly","Parallel to the flow path","In circular motion","At different pressures","B","Laminar flow consists of parallel fluid layers."
8,"Why is turbulent flow undesirable?","It increases lubrication","It wastes energy as heat","It increases pressure","It improves efficiency","B","Turbulence causes friction losses and heat generation."
9,"Flow rate is generally measured in:","Newton","Pascal","LPM","Watt","C","Flow rate is commonly measured in liters per minute."
10,"Flow rate mainly determines the:","Pressure","Cylinder speed","Oil viscosity","Pump weight","B","Actuator speed depends primarily on flow rate."
11,"Pressure is defined as:","Force × Area","Force/Area","Area/Force","Mass × Velocity","B","Pressure equals force divided by area."
12,"Which pressure unit is equivalent to 10 bar?","1 psi","1 MPa","1 kg/cm²","14.7 psi","B","One megapascal equals 10 bar."
13,"Atmospheric pressure at sea level is approximately:","7 psi","14.7 psi","25 psi","100 psi","B","Atmospheric pressure is about 14.7 psi."
14,"1 atmospheric pressure is approximately equal to:","2 bar","1 bar","5 bar","10 bar","B","Standard atmospheric pressure is approximately 1 bar."
15,"Hydraulic flow is usually produced by:","Cylinder","Accumulator","Pump","Valve","C","The hydraulic pump creates flow."
16,"If system pressure is insufficient:","Cylinder speed increases","Cylinder cannot move the load","Pump stops automatically","Oil becomes compressible","B","Adequate pressure is required to overcome load."
17,"Hydraulic oil acts as:","Coolant only","Lubricant only","Lubricant and power transmission medium","Seal only","C","Oil both transmits power and lubricates components."
18,"One foot of oil produces approximately:","0.4 psi","1 psi","10 psi","14.7 psi","A","A one-foot oil column creates about 0.4 psi."
19,"A 10 m water column produces approximately:","10 bar","1 kg/cm²","100 psi","0.1 kg/cm²","B","A 10-meter water column develops roughly 1 kg/cm²."
20,"Flow through an orifice requires:","High temperature","Pressure drop","Low viscosity","High density","B","Pressure difference is necessary to produce flow."
21,"Cylinder force depends on:","Pump speed","Oil pressure and piston area","Oil color","Pipe diameter","B","Force equals pressure multiplied by piston area."
22,"Cylinder speed depends mainly on:","Oil viscosity","Piston area and flow rate","Pump pressure only","Temperature","B","Flow rate and piston area determine speed."
23,"Fluid velocity through a pipe varies inversely with:","Pipe length","Square of inside diameter","Pressure","Oil temperature","B","Increasing pipe diameter reduces velocity."
24,"Friction in pipelines results in:","Higher flow","Pressure drop","Higher efficiency","Zero leakage","B","Pipe friction reduces pressure."
25,"Which statement is TRUE?","Oil is highly compressible","Air is practically incompressible","Air is compressible","Both are incompressible","C","Air compresses significantly while oil is nearly incompressible."
26,"A hydraulic pump primarily:","Creates pressure","Transfers fluid","Stores energy","Controls speed","B","Pressure develops due to resistance, not directly by the pump."
27,"Pressure in a hydraulic system develops because of:","Pump speed","Resistance to flow","Oil temperature","Tank size","B","Resistance converts flow into pressure."
28,"Oil enters the pump suction mainly due to:","Pump rotation","Atmospheric pressure","Gravity only","Accumulator pressure","B","Atmospheric pressure pushes oil into the pump."
29,"Fluid always follows:","Longest path","Path of least resistance","Highest temperature","Largest diameter","B","Flow naturally takes the path of least resistance."
30,"Fluid flows from:","Low pressure to high pressure","High pressure to low pressure","Low temperature to high temperature","Pump to tank only","B","Fluid always flows from higher pressure to lower pressure."
31,"According to Pascal's Law, pressure applied to a confined fluid is transmitted:","Only upward","Only downward","Equally in all directions","Only sideways","C","Pascal's Law states pressure acts equally throughout a confined fluid."
32,"Pascal's Law forms the basis of:","Gear pump","Hydraulic press","Heat exchanger","Accumulator","B","Hydraulic presses operate using Pascal's principle."
33,"In a hydraulic press, output force is proportional to:","Oil temperature","Output piston area","Pump speed","Cylinder length","B","Larger piston area produces larger force."
34,"According to Bernoulli's Principle, the total energy of a flowing fluid remains:","Zero","Constant","Variable","Infinite","B","Bernoulli's principle is based on conservation of energy."
35,"Which hydraulic advantage gives protection against overload?","Accumulator","Relief valve","Pressure gauge","Filter","B","The relief valve limits maximum pressure."
36,"Hydraulic motors weigh approximately what fraction of an equivalent electric motor?","1/2","1/3","1/7","1/10","C","Hydraulic motors have very high power-to-weight ratio."
37,"Hydraulic systems provide:","Fixed speed only","Infinitely variable speed","No speed control","Only reverse motion","B","Hydraulics provide smooth variable speed control."
38,"Which component stores hydraulic oil?","Accumulator","Reservoir","Cylinder","Filter","B","The reservoir stores and supplies hydraulic oil."
39,"The reservoir also helps in:","Cooling oil","Removing air","Settling contaminants","All of the above","D","Reservoirs perform multiple important functions."
40,"The pipeline connecting the tank to the pump is called:","Pressure line","Return line","Suction line","Pilot line","C","The suction line feeds oil to the pump."
41,"Which of the following is a major function of the reservoir in a hydraulic system?","Generate pressure","Store, cool, and de-aerate hydraulic oil","Increase oil viscosity","Control actuator speed","B","The reservoir stores hydraulic oil, dissipates heat, allows contaminants to settle, and separates entrapped air."
42,"Which device allows air to move in and out of the hydraulic reservoir while maintaining atmospheric pressure?","Accumulator","Air breather","Pressure switch","Flow control valve","B","The air breather maintains atmospheric pressure inside the reservoir while preventing contamination."
43,"What is the primary function of baffle plates inside a hydraulic reservoir?","Increase oil pressure","Reduce oil viscosity","Allow return oil to cool and contaminants to settle","Increase pump speed","C","Baffle plates increase the oil residence time, allowing cooling and contaminant settling."
44,"A manhole provided in a hydraulic reservoir is mainly used for:","Pressure testing","Maintenance and cleaning","Oil heating","Flow measurement","B","The manhole provides access for inspection and cleaning."
45,"The suction line connects the:","Pump to actuator","Pump to pressure gauge","Reservoir to pump","Cylinder to tank","C","The suction line carries oil from the reservoir to the pump."
46,"Why is a flexible hose or rubber bellows provided in the suction line?","Increase pressure","Reduce oil temperature","Compensate for vibration and minor misalignment","Increase flow rate","C","Flexible connections absorb vibration and compensate for alignment errors."
47,"Before starting a hydraulic pump, the suction valve should be:","Closed","Half-open","Fully open","Disconnected","C","Operating the pump with a closed suction valve can severely damage it."
48,"What is the main function of a hydraulic pump?","Generate pressure directly","Transfer hydraulic fluid","Store hydraulic energy","Control flow direction","B","A hydraulic pump produces flow; pressure develops only when resistance exists."
49,"Pressure in a hydraulic system is produced due to:","Pump displacement","Resistance to fluid flow","Reservoir size","Oil density","B","Pressure develops because the flowing oil encounters resistance."
50,"Which type of pump is normally used in hydraulic systems?","Centrifugal pump","Axial flow pump","Positive displacement pump","Jet pump","C","Positive displacement pumps deliver a fixed quantity of fluid per revolution."
51,"Which statement correctly describes a positive displacement pump?","Flow varies with load","Delivers fixed volume per revolution","Cannot produce high pressure","Needs no sealing","B","Positive displacement pumps transfer a nearly fixed volume every revolution."
52,"Pump displacement is generally expressed in:","kg/cm²","Litres","cm³/revolution","Bar/minute","C","Pump displacement represents the volume delivered per revolution."
53,"Pump discharge is calculated by:","Pressure × Area","Pump displacement × Pump speed","Velocity × Pressure","Flow × Pressure","B","Pump discharge depends on displacement and rotational speed."
54,"Which pump is generally NOT used in hydraulic power systems?","Gear pump","Piston pump","Vane pump","Centrifugal pump","D","Centrifugal pumps are non-positive displacement pumps and are unsuitable for most hydraulic systems."
55,"Why are centrifugal pumps generally avoided in hydraulics?","High maintenance","Cannot build high pressure under closed delivery","Very expensive","Operate only with water","B","They cannot develop unlimited pressure against a closed outlet."
56,"Which are the three most commonly used positive displacement pumps?","Gear, Vane, Piston","Centrifugal, Axial, Jet","Reciprocating, Screw, Mixed Flow","Gear, Turbine, Diaphragm","A","Gear, vane, and piston pumps dominate hydraulic applications."
57,"Air entering the suction side of a hydraulic pump results in:","Improved efficiency","Aeration","Hydraulic hammer","Pressure override","B","Aeration causes noise, cavitation-like effects, and pump damage."
58,"Loose joints in the suction pipeline may cause:","Pressure increase","Aeration","Higher lubrication","Lower oil temperature","B","Air leaks through loose suction joints cause aeration."
59,"The delivery line of a hydraulic pump is generally followed immediately by a:","Heat exchanger","Check valve","Accumulator","Cylinder","B","A check valve prevents reverse flow toward the pump."
60,"Why is a pressure gauge installed in a hydraulic circuit?","Increase pressure","Measure system pressure","Filter oil","Store energy","B","Pressure gauges monitor operating pressure and assist in valve adjustment."
61,"Why are glycerin-filled pressure gauges preferred?","Increase accuracy","Reduce vibration damage","Reduce oil contamination","Increase flow","B","Glycerin dampens vibrations and prolongs gauge life."
62,"Which hydraulic component provides overload protection?","Accumulator","Pressure gauge","Relief valve","Flow control valve","C","The relief valve limits maximum system pressure."
63,"A relief valve opens when:","Pressure falls below the setting","Flow becomes zero","Pressure exceeds the preset value","Pump stops","C","The relief valve protects the system by limiting excessive pressure."
64,"The excess oil discharged by a relief valve returns to the:","Pump inlet","Cylinder","Reservoir","Accumulator","C","Relief valves divert excess oil back to the tank."
65,"The accumulator primarily stores:","Mechanical energy","Electrical energy","Hydraulic energy","Thermal energy","C","Hydraulic accumulators store pressurized hydraulic energy."
66,"Which gas is normally used in hydraulic accumulators?","Air","Oxygen","Nitrogen","Carbon dioxide","C","Nitrogen is inert and safe for accumulator charging."
67,"Why should oxygen never be used in an accumulator?","Causes corrosion","Reduces pressure","May cause explosion","Increases leakage","C","Oxygen under pressure can react violently and explode."
68,"Which accumulator type is most commonly used?","Dead-weight","Bladder","Piston","Spring","B","Bladder accumulators are widely used due to their simplicity and reliability."
69,"Before maintenance, an accumulator should always be:","Filled with oil","Connected to pressure line","Isolated and depressurized","Heated","C","Stored pressure must be released before maintenance."
70,"One important application of an accumulator is:","Cooling oil","Emergency power supply","Generating pressure directly","Filtering oil","B","Accumulators provide stored hydraulic energy during power failure."
71,"Which valve controls the direction of actuator movement?","Pressure reducing valve","Directional control valve","Relief valve","Sequence valve","B","Directional control valves start, stop, and reverse actuator motion."
72,"A directional control valve may be actuated by:","Lever","Solenoid","Hydraulic pilot","All of the above","D","Several actuation methods are available depending on application."
73,"A two-position directional control valve allows the cylinder to:","Stop anywhere","Move only between two extreme positions","Rotate continuously","Control pressure","B","Intermediate stopping is generally not possible with a two-position valve."
74,"Flow control valves primarily regulate:","Pressure","Temperature","Actuator speed","Oil cleanliness","C","Flow rate directly determines actuator speed."
75,"Which simple valve can sometimes be used as a flow control valve?","Relief valve","Needle valve","Check valve","Pressure switch","B","Needle valves provide adjustable flow restriction."
76,"Sequence valves are mainly used to:","Reduce pressure","Store energy","Ensure operations occur in a fixed order","Increase pump efficiency","C","Sequence valves enable automatic sequential actuator operation."
77,"Sequence valves operate primarily based on:","Temperature","Pressure setting","Oil colour","Reservoir size","B","The valve opens after reaching the preset pressure."
78,"In a punching machine, which operation normally occurs first?","Punching","Clamping","Retraction","Oil filtration","B","The workpiece is clamped before punching."
79,"Pressure reducing valves are used when:","Higher pressure is required","Lower pressure is needed in a branch circuit","Pump pressure is insufficient","Oil viscosity decreases","B","They maintain a lower downstream pressure."
80,"The outlet pressure of a pressure reducing valve is always:","Higher than relief valve setting","Equal to pump pressure","Limited to the preset reduced value","Zero","C","The downstream pressure cannot exceed the valve setting."
81,"Which hydraulic component removes contaminants from hydraulic oil?","Accumulator","Filter","Pressure switch","Flow control valve","B","Filters remove dust and contaminants, improving system reliability."
82,"Why are hydraulic filters essential?","Increase oil pressure","Prevent contamination-related failures","Increase pump speed","Reduce reservoir size","B","Contamination is the major cause of hydraulic system failures."
83,"The coarse filter installed in the suction line is commonly called a:","Separator","Strainer","Diffuser","Collector","B","A coarse suction filter is known as a strainer."
84,"Filter media commonly used in hydraulic systems include:","Paper, wire mesh, synthetic fiber","Glass only","Rubber only","Plastic sheet only","A","Different porous materials trap contaminants effectively."
85,"Online filtration means:","Filtering oil outside the hydraulic system","Filtering oil while circulating through the hydraulic system","Manual oil cleaning","Filtering only during shutdown","B","Online filtration continuously cleans oil during operation."
86,"Offline filtration systems are mainly used for:","Power transmission","Additional oil cleaning and maintenance","Pressure measurement","Increasing pump speed","B","Offline filtration improves oil cleanliness independently of the main circuit."
87,"Why are bypass valves provided across return-line filters?","Increase pressure","Prevent oil starvation if the filter clogs","Reduce oil viscosity","Improve cooling","B","A bypass allows temporary oil flow when the filter becomes clogged."
88,"Pressure switches are mainly used for:","Oil storage","Safety and automatic control","Flow measurement","Lubrication","B","Pressure switches generate electrical signals based on hydraulic pressure."
89,"Which type of pressure switch uses a moving plunger?","Bourdon tube type","Plunger type","Float type","Bellows type","B","Hydraulic pressure moves the plunger to operate electrical contacts."
90,"A Bourdon tube pressure switch works by:","Magnetic attraction","Expansion and contraction of the Bourdon tube","Oil evaporation","Fluid compression","B","The Bourdon tube deflects with pressure to actuate switches."
91,"Low-level float switches in reservoirs are generally interlocked with the:","Cylinder","Pump motor","Accumulator","Pressure gauge","B","The pump is prevented from operating at dangerously low oil levels."
92,"The primary purpose of a float switch is to detect:","Oil pressure","Oil temperature","Oil level","Oil viscosity","C","Float switches monitor reservoir oil level."
93,"More than what percentage of hydraulic failures are due to contaminated oil?","20%","40%","60%","80%","D","The chapter states that over 80% of hydraulic problems result from contamination."
94,"Oil is cooled mainly to maintain its:","Density","Colour","Viscosity","Flash point","C","Proper viscosity ensures efficient hydraulic operation."
95,"Heat load for a hydraulic cooler is generally considered between:","5–10%","10–20%","25–40%","60–80%","C","Coolers are selected considering approximately 25–40% of pump power."
96,"1 kW is equal to approximately:","100 kcal/hr","500 kcal/hr","860 kcal/hr","1200 kcal/hr","C","Heat exchanger capacity is often expressed in kcal/hour."
97,"A heat exchanger transfers heat from:","One solid to another","One fluid to another","Air to electricity","Pressure to flow","B","Heat exchangers cool hydraulic oil by transferring heat."
98,"Which heat exchanger is most commonly used in hydraulic systems?","Plate type","Shell-and-tube type","Both A and B","Cooling tower only","C","Shell-and-tube and plate heat exchangers are the most common."
99,"In a shell-and-tube heat exchanger, the cooling fluid generally flows through the:","Shell","Tubes","Reservoir","Pump","B","Cooling water typically flows inside the tubes."
100,"In a plate heat exchanger, fluids generally flow:","In the same direction","In opposite directions","Randomly","Vertically only","B","Counter-flow improves heat transfer efficiency."
