question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"What is the process of converting coking coal into metallurgical coke called?","Carbonization","Calcination","Gasification","Roasting","A","Carbonization is the process of converting coking coal into metallurgical coke by heating it in the absence of air."
2,"The coke-making process begins with which operation?","Unloading coal at wagon tipplers","Charging coal into ovens","Coal crushing","Coal blending","A","The process starts with unloading coal at wagon tipplers."
3,"The coke-making process ends with:","Sizing and transportation of coke to Blast Furnace","Coal washing","Coal blending","Coal crushing","A","After carbonization, coke is sized and transported to the Blast Furnace."
4,"During coal formation, plant material first decomposes into:","Peat","Lignite","Bituminous coal","Anthracite","A","Peat is the first stage formed from decayed vegetation."
5,"Which coal rank is formed immediately after peat?","Lignite","Bituminous coal","Anthracite","Coke","A","Peat transforms into lignite under heat and pressure."
6,"Continuous compaction converts lignite into:","Bituminous coal","Anthracite","Coke","Peat","A","Lignite gradually transforms into bituminous coal over millions of years."
7,"Coal formation is a process that takes:","Millions of years","Hundreds of years","Thousands of years","Few decades","A","Coal formation occurs over geological time scales."
8,"Which of the following is an indigenous coking coal?","Prime Coking Coal (PCC)","Soft Coking Coal","Australian Hard Coal","USA Hard Coal","A","PCC is classified as indigenous coking coal."
9,"Which of the following is an imported coking coal?","Hard Coking Coal (HCC)","Prime Coking Coal","Medium Coking Coal","Washed Coal","A","Imported coals include hard and soft coking coals."
10,"Coal washeries mainly reduce:","Ash content","Volatile matter","Moisture","Carbon","A","Coal washing reduces ash before coke making."
11,"Lower ash percentage in coal indicates:","Better coal quality","Higher moisture","Poor coking property","Lower strength","A","Lower ash improves coke quality."
12,"Volatile Matter (VM) represents:","Materials released as gases during carbonization","Fixed carbon","Moisture only","Ash","A","VM consists of gases driven off during heating."
13,"Free Swelling Index (FSI) is also called:","Crucible Swelling Number","Coal Strength Number","Carbonization Number","Plasticity Index","A","FSI is also known as CSN."
14,"Gieseler Fluidity measures the:","Rheological properties of coal","Ash percentage","Moisture content","Carbon content","A","It evaluates coal softening and plastic behavior."
15,"Mean Max Reflectance (MMR) is directly proportional to:","Coke strength","Moisture","Ash","Sulphur","A","Higher MMR generally results in stronger coke."
16,"A rake generally contains how many wagons?","59","45","72","80","A","A standard rake consists of about 59 wagons."
17,"Wagon tipplers rotate wagons up to approximately:","172°","90°","180°","120°","A","The wagons are tilted up to 172° for unloading."
18,"Mixing different grades of coal in the stockyard should be:","Avoided","Encouraged","Ignored","Done daily","A","Mixing different grades adversely affects coke quality."
19,"Coal reclaiming from the yard is carried out using a:","Reclaimer","Stacker","Crusher","Tippler","A","A reclaimer recovers stored coal."
20,"In RSP, the sequence followed is:","Crushing before blending","Blending before crushing","Only crushing","Only blending","A","RSP follows crushing before blending."
