question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
1,"A digital computer performs all internal operations using which number system?","Decimal","Binary","Hexadecimal","Octal","B","Digital computers internally use the binary number system consisting of 0 and 1."
2,"Which is the smallest unit of information in a computer?","Byte","Bit","Nibble","Word","B","A bit (Binary Digit) is the smallest unit of storage."
3,"One byte is equal to how many bits?","4","8","16","32","B","One byte consists of eight bits."
4,"The storage capacity of 1 KB is equal to:","1000 Bytes","1024 Bytes","2048 Bytes","512 Bytes","B","The chapter defines 1 KB as 1024 Bytes."
5,"Clock speed of a processor is measured in:","MB","GHz","RPM","TB","B","Processor clock speed is measured in Gigahertz (GHz)."
6,"Which of the following is NOT multimedia data?","Text","Video","Audio","Voltage","D","Multimedia includes text, images, audio, video and interactive content."
7,"A computer operates under the control of instructions stored in its:","Printer","Monitor","Memory","Keyboard","C","Instructions are stored in the computer's memory."
8,"Which computer is mainly used for CAD/CAM and 3D modelling?","Tablet","Workstation","Mainframe","Smartphone","B","Workstations are designed for engineering and graphics-intensive applications."
9,"Which computer type provides services to other computers over a network?","Laptop","Server","Tablet","Desktop","B","A server provides services to client computers."
10,"Edge computing devices primarily reduce:","Power consumption","Latency","Storage","Bandwidth","B","Edge devices process data locally to reduce latency."
11,"Mainframe computers are mainly used for:","Gaming","Bulk transaction processing","Video editing","Animation","B","Mainframes are designed for high-volume transaction processing."
12,"Which Indian supercomputer is mentioned in the chapter?","PARAM 8000","PARAM Siddhi-AI","Pratyush","Mihir","B","PARAM Siddhi-AI is one of Asia's fastest supercomputers."
13,"Which characteristic allows computers to perform repetitive work continuously?","Fatigue","Automation","Emotion","Creativity","B","Computers automate repetitive tasks without fatigue."
14,"Predictive analytics helps in:","Formatting documents","Detecting process deviations","Playing games","Scanning documents","B","Predictive analytics identifies process deviations before they become major issues."
15,"Which communication method has largely replaced paper-based communication?","Telegram","Email","Fax only","Postal mail","B","Email and instant messaging enable real-time communication."
16,"The first generation of computers used:","Transistors","Vacuum tubes","Integrated Circuits","Microprocessors","B","First-generation computers used vacuum tubes."
17,"ENIAC belongs to which generation?","First","Second","Third","Fourth","A","ENIAC is a first-generation computer."
18,"The second generation of computers replaced vacuum tubes with:","ICs","Microprocessors","Transistors","AI chips","C","Second-generation computers used transistors."
19,"Integrated Circuits became popular during the:","First Generation","Second Generation","Third Generation","Fourth Generation","C","Third-generation computers introduced ICs."
20,"The invention of the microprocessor marks the beginning of the:","Second Generation","Third Generation","Fourth Generation","Fifth Generation","C","Microprocessors define the fourth generation."
21,"AI-optimized processors are associated with which generation?","Third","Fourth","Fifth","Second","C","Fifth-generation computers emphasize AI technologies."
22,"Which level in a steel plant hierarchy directly controls sensors and actuators?","Level IV","Level III","Level II","Level I","D","Level I contains PLCs and DCS for direct control."
23,"MES stands for:","Manufacturing Engineering System","Manufacturing Execution System","Machine Execution Software","Manufacturing Equipment Solution","B","MES stands for Manufacturing Execution System."
24,"SAP S/4HANA belongs to which hierarchy level?","Level I","Level II","Level III","Level IV","D","Corporate ERP systems operate at Level IV."
25,"Hardware refers to:","Programs","Physical components","Algorithms","Data","B","Hardware consists of physical components."
26,"Software is best described as:","Electronic circuits","Collection of programs","Storage devices","Input devices","B","Software contains instructions for the computer."
27,"The CPU is responsible for:","Printing","Executing instructions","Storing backups","Displaying graphics only","B","The CPU executes program instructions."
28,"Which processor architecture is known for high performance per watt?","Intel x86","ARM","8086","Pentium II","B","ARM processors offer excellent performance per watt."
29,"ROM is classified as:","Volatile memory","Temporary memory","Non-volatile memory","Cache memory","C","ROM retains its contents without power."
30,"Which ROM type can be erased using ultraviolet light?","PROM","EPROM","EEPROM","Flash ROM","B","EPROM is erased using UV light."
31,"EEPROM can be erased using:","Heat","Electricity","Magnets","Laser","B","EEPROM is electrically erasable."
32,"RAM is called volatile because:","It is expensive","Data is lost without power","It is slow","It is permanent","B","RAM loses its contents when power is removed."
33,"SRAM is mainly used as:","Hard disk","CPU Cache","Cloud Storage","DVD","B","SRAM is used for cache memory."
34,"Which RAM requires periodic refreshing?","SRAM","Flash","DRAM","ROM","C","DRAM requires refresh cycles."
35,"DDR5 provides approximately what advantage over DDR4?","Half bandwidth","Double bandwidth","Lower speed","Lower capacity","B","DDR5 offers nearly double the bandwidth."
36,"Modern computers primarily use which storage device?","Floppy Disk","SSD","Magnetic Tape","CD-ROM","B","SSDs are the primary storage medium."
37,"HDD stores information using:","Laser beams","Magnetic platters","Flash memory","Optical sensors","B","Hard disks store data magnetically."
38,"NAS stands for:","Network Attached Storage","Network Access Server","New Attached Storage","Node Access System","A","NAS provides centralized storage."
39,"Which storage type is accessed over the internet?","Cache","Cloud Storage","RAM","ROM","B","Cloud storage is remotely accessed."
40,"USB flash drives are also called:","Optical disks","Pen drives","Tape drives","Magnetic drives","B","Pen drives use flash memory."
41,"Which of the following is an input device?","Monitor","Printer","Barcode Scanner","Speaker","C","Barcode scanners provide input."
42,"RFID readers are commonly used in:","Industrial automation","Cooking","Printing","Video editing","A","RFID is widely used in industrial environments."
43,"Voice input is enabled using:","OCR","Speech-to-text","Laser printing","Bluetooth","B","Speech recognition converts voice into text."
44,"Which device displays processed information?","Keyboard","Scanner","Monitor","Mouse","C","Monitors are output devices."
45,"Which display technology provides better colour and lower power consumption?","CRT","OLED","Dot Matrix","Plasma","B","OLED displays offer superior image quality."
46,"A Full HD monitor has a resolution of:","1280×720","1920×1080","2560×1440","3840×2160","B","Full HD resolution is 1920×1080."
47,"4K resolution is:","1920×1080","2560×1440","3840×2160","1366×768","C","4K UHD resolution is 3840×2160."
48,"Which printer is best suited for high-volume office printing?","Inkjet","Laser","Dot Matrix","Thermal","B","Laser printers are economical for large volumes."
49,"A device driver allows communication between:","CPU and RAM","Operating System and Hardware","Monitor and Keyboard","Internet and Browser","B","Drivers allow the OS to interact with hardware."
